deg,mos_pred,model
p230_Ask_her_to_generated_e2e.wav,3.0908210277557373,NISQA_TTS_v1
ref_p299_034_generated_e2e.wav,4.828075885772705,NISQA_TTS_v1
p256_Ask_her_to_generated_e2e.wav,3.410888433456421,NISQA_TTS_v1
p254_We_also_ne_generated_e2e.wav,2.85235595703125,NISQA_TTS_v1
p232_Ask_her_to_generated_e2e.wav,3.3533971309661865,NISQA_TTS_v1
p230_We_also_ne_generated_e2e.wav,2.9323742389678955,NISQA_TTS_v1
p239_Six_spoons_generated_e2e.wav,3.4091691970825195,NISQA_TTS_v1
p239_Please_cal_generated_e2e.wav,3.197627305984497,NISQA_TTS_v1
p225_Ask_her_to_generated_e2e.wav,2.989346504211426,NISQA_TTS_v1
ref_p233_016_generated_e2e.wav,4.624737739562988,NISQA_TTS_v1
p227_We_also_ne_generated_e2e.wav,2.6557304859161377,NISQA_TTS_v1
p236_We_also_ne_generated_e2e.wav,2.4459753036499023,NISQA_TTS_v1
p228_When_the_s_generated_e2e.wav,2.7858383655548096,NISQA_TTS_v1
p300_Six_spoons_generated_e2e.wav,3.7285571098327637,NISQA_TTS_v1
p258_Please_cal_generated_e2e.wav,1.9038071632385254,NISQA_TTS_v1
p258_Ask_her_to_generated_e2e.wav,2.6191961765289307,NISQA_TTS_v1
ref_p228_018_generated_e2e.wav,3.9919333457946777,NISQA_TTS_v1
p225_Six_spoons_generated_e2e.wav,3.090904951095581,NISQA_TTS_v1
p254_Ask_her_to_generated_e2e.wav,3.2764410972595215,NISQA_TTS_v1
p232_We_also_ne_generated_e2e.wav,3.365061044692993,NISQA_TTS_v1
p233_Ask_her_to_generated_e2e.wav,3.6122539043426514,NISQA_TTS_v1
p228_Six_spoons_generated_e2e.wav,3.506822109222412,NISQA_TTS_v1
p300_Ask_her_to_generated_e2e.wav,3.3931705951690674,NISQA_TTS_v1
ref_p236_011_generated_e2e.wav,2.8471648693084717,NISQA_TTS_v1
p254_Please_cal_generated_e2e.wav,2.7496707439422607,NISQA_TTS_v1
p254_When_the_s_generated_e2e.wav,2.900921106338501,NISQA_TTS_v1
p243_We_also_ne_generated_e2e.wav,3.021016836166382,NISQA_TTS_v1
p299_Six_spoons_generated_e2e.wav,3.42895245552063,NISQA_TTS_v1
p239_When_the_s_generated_e2e.wav,3.331664562225342,NISQA_TTS_v1
p236_When_the_s_generated_e2e.wav,3.0987160205841064,NISQA_TTS_v1
p243_Ask_her_to_generated_e2e.wav,3.1784541606903076,NISQA_TTS_v1
p239_We_also_ne_generated_e2e.wav,3.2403008937835693,NISQA_TTS_v1
p232_When_the_s_generated_e2e.wav,3.9296653270721436,NISQA_TTS_v1
p258_Six_spoons_generated_e2e.wav,2.883697271347046,NISQA_TTS_v1
p233_Please_cal_generated_e2e.wav,2.725019931793213,NISQA_TTS_v1
p233_We_also_ne_generated_e2e.wav,3.8011677265167236,NISQA_TTS_v1
p236_Please_cal_generated_e2e.wav,1.5852677822113037,NISQA_TTS_v1
p228_Ask_her_to_generated_e2e.wav,3.731673002243042,NISQA_TTS_v1
p230_Six_spoons_generated_e2e.wav,3.2376747131347656,NISQA_TTS_v1
ref_p230_007_generated_e2e.wav,3.5725717544555664,NISQA_TTS_v1
p239_Ask_her_to_generated_e2e.wav,3.329444169998169,NISQA_TTS_v1
